period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,8528.81,0.00,0.0000,2773293107,91934071892,10527252775,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,11.87,0.00,0.0000,3877370,5917411,3271108,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,9.90,0.00,0.0000,204533248,1255770762,440091012,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,124.01,0.00,0.0000,1341229355,61900012,91975901,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,189110.82,0.00,0.0000,1164507074208,2020596346699,1378798227103,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,85146.07,0.00,0.0000,400655923504,911703374471,497078937085,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.43,0.00,0.0000,238,5129414,28010,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0.00,0.00,0.0000,1483,857,1057,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,44674.83,0.00,0.0000,77976087424452560,91778625190964048,82989894703866368,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0.00,0.00,0.0000,92798544377,612957136901,234517569467,0
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,72789.78,0.00,0.0000,785021663526,36441551580,144365115693,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,580.24,0.00,0.0000,365509,6271249936,43353267,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,5559.45,0.00,0.0000,59898815474,2785527593,11596535545,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,73.10,0.00,0.0000,790410505,36910242,163695513,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,1.07,0.00,0.0000,12287129,1484494934,130473177,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,86.56,0.00,0.0000,935727009,178778535651357,392377159380,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.48,0.00,0.0000,17018499,7799276,11433944,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,0.71,0.00,0.0000,7045207,223680955999,1240170883,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,417.88,0.00,0.0000,209109160,211182019,205346421,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,6590.05,0.00,0.0000,70422785673,1085452599967371264,264306219490880,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,20923.90,0.00,0.0000,9973895972,10951455093,20873319333,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,624.06,0.00,0.0000,6747806955,61121990689388191744,615520619297008,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0.00,0.00,0.0000,7605,140,1005,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,0.00,0.00,0.0000,98220165,24590573,47616649,0
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,2445.18,0.00,0.0000,796359760,468359374,602118214,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0.00,0.00,0.0000,1019,982,1000,0
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,268.66,0.00,0.0000,173955,164912,154552,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,1162.01,0.00,0.0000,12484033954,4136886679,7142199009,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,2677.39,0.00,0.0000,28882636248,1154965445,5494951261,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,3938.77,0.00,0.0000,1969303426,1697918234,1807954599,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,430.08,0.00,0.0000,165145940705,4629158710,27035837097,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0.02,0.00,0.0000,6125,4159,5041,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,83.36,0.00,0.0000,1821837,12534543721308024,150548229107,6
6-day-avg,2026-09-02,2026-09-07,6,6,false,skeletonswap,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,0.00,0.00,0.0000,21100925265,191140285,1976621377,0
