period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,195,806188.01,14872.32,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,195,324331.40,17253.33,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,195,260129.92,6571.73,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,195,218126.71,1899.20,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,195,216769.20,1589.05,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,195,135259.82,900.91,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,195,107700.55,1032.41,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,195,92660.05,594.89,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,195,49322.81,134.66,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,195,46589.98,18.87,11,6,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,project,195,29251.45,26.48,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,195,33547.90,633.30,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,195,26392.28,833.36,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,bluechip,195,24411.34,245.11,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,stable,195,20516.25,198.90,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,single,195,20277.91,48.20,11,10,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,stable,195,19305.22,135.53,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,project,195,7689.99,957.75,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-arbLUNA,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,single,195,0.00,46.75,0,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,single,195,6763.72,149.60,11,11,stable,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,project,195,5105.93,7.41,11,1,sparse-volume,false
2026-epoch-195,2026-08-01,2026-08-01,1,7,true,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,project,195,0.00,12.10,0,3,sparse-volume,false
